Aric;Fernandez;aric.fernandez@bsu.edu;CHEM101,HIST150,ENG104;
Rayford;Alvarado;rayford.alvarado@bsu.edu;ECON201,ENG104,CHEM101;
Buddie;Ray;buddie.ray@bsu.edu;CS222,MATH125,HIST150;
Maximillian;Black;maximillian.black@bsu.edu;ENG104,CS333,CS121;
Sheldon;Carter;sheldon.carter@bsu.edu;CS120,CS446,CS333;
Clarence;Dunn;clarence.dunn@bsu.edu;ECON201,CS120,CS333;
Sebastian;Reed;sebastian.reed@bsu.edu;CS333,CS345,CS120;
Marcus;Morales;marcus.morales@bsu.edu;BIO111,ECON201,CS446;
Jimmy;Fleming;jimmy.fleming@bsu.edu;PHYS215,CS345,BIO111;
Cole;Richards;cole.richards@bsu.edu;PHYS215,CS446,BIO111;
Ruben;Rivera;ruben.rivera@bsu.edu;CS446,CHEM101,ENG104;
Bryon;Simmons;bryon.simmons@bsu.edu;HIST150,ENG104,PHYS215;
Delano;Snyder;delano.snyder@bsu.edu;CS345,ENG104,CHEM101;
Helmer;Bryant;helmer.bryant@bsu.edu;CS121,CS345,CS333;
Ramiro;Hunter;ramiro.hunter@bsu.edu;HIST150,CS345,CS333;
Jamey;Burke;jamey.burke@bsu.edu;MATH161,BIO111,PHYS215;
Windell;Chapman;windell.chapman@bsu.edu;PSYCH100,MATH125,CS446;
Drake;Hoffman;drake.hoffman@bsu.edu;CS121,CS120,HIST150;
Patsy;Hawkins;patsy.hawkins@bsu.edu;CS121,MATH161,PSYCH100;
Foster;Hudson;foster.hudson@bsu.edu;BIO111,PSYCH100,CS222;
Rogers;Boyd;rogers.boyd@bsu.edu;CS121,PHYS215,CHEM101;
Geo;Parker;geo.parker@bsu.edu;CS333,CS345,HIST150;
Blaise;Lane;blaise.lane@bsu.edu;MATH161,PSYCH100,PHYS215;
Arcadio;Sanders;arcadio.sanders@bsu.edu;MATH125,CS446,HIST150;
Jeremiah;Allen;jeremiah.allen@bsu.edu;CS345,CS446,HIST150;
Dustin;Flores;dustin.flores@bsu.edu;CS120,MATH161,PSYCH100;
Gust;Russell;gust.russell@bsu.edu;BIO111,CS121,CHEM101;
Hakeem;Castillo;hakeem.castillo@bsu.edu;MATH161,ENG104,CS222;
Ronaldo;Castro;ronaldo.castro@bsu.edu;ENG104,CS446,MATH161;
Herschel;Vargas;herschel.vargas@bsu.edu;CS120,CHEM101,ENG104;
Federico;Moreno;federico.moreno@bsu.edu;CS121,CS120,MATH125;
Jewell;Nichols;jewell.nichols@bsu.edu;CS222,ECON201,CS333;
Zion;Meyer;zion.meyer@bsu.edu;CS333,HIST150,ECON201;
Jameson;Wagner;jameson.wagner@bsu.edu;BIO111,PHYS215,MATH125;
Keyon;Hill;keyon.hill@bsu.edu;PSYCH100,CS446,CS120;
Barney;Murray;barney.murray@bsu.edu;CS446,ECON201,CS333;
Lesley;Peters;lesley.peters@bsu.edu;PSYCH100,PHYS215,CHEM101;
Kaleb;Washington;kaleb.washington@bsu.edu;CS120,CS121,MATH125;
Ansel;Jones;ansel.jones@bsu.edu;BIO111,CS222,CS345;
Norwood;Morgan;norwood.morgan@bsu.edu;ENG104,BIO111,CS121;
Andra;Fisher;andra.fisher@bsu.edu;HIST150,PSYCH100,MATH161;
Kennith;Mitchell;kennith.mitchell@bsu.edu;CS222,BIO111,ENG104;
Anthony;Baker;anthony.baker@bsu.edu;PHYS215,BIO111,CS222;
Braxton;Elliott;braxton.elliott@bsu.edu;BIO111,ENG104,ECON201;
Aiden;Wheeler;aiden.wheeler@bsu.edu;BIO111,PSYCH100,CS345;
Arnoldo;Jordan;arnoldo.jordan@bsu.edu;ECON201,CS120,MATH125;
Kevin;Rios;kevin.rios@bsu.edu;HIST150,PHYS215,CS345;
Eldon;Cunningham;eldon.cunningham@bsu.edu;PSYCH100,CS446,ECON201;
Morton;Sandoval;morton.sandoval@bsu.edu;HIST150,MATH161,PHYS215;
Houston;Simpson;houston.simpson@bsu.edu;CHEM101,MATH125,CS222;
Oliver;Thomas;oliver.thomas@bsu.edu;MATH161,BIO111,CS120;
Earl;Munoz;earl.munoz1@bsu.edu;PHYS215,CS345,MATH161;
Marcelino;Reynolds;marcelino.reynolds@bsu.edu;CHEM101,PSYCH100,PHYS215;
Savion;Lawrence;savion.lawrence@bsu.edu;BIO111,ECON201,CS222;
Edmund;Martin;edmund.martin@bsu.edu;CS333,CS120,BIO111;
Nigel;Harris;nigel.harris@bsu.edu;PHYS215,CS120,BIO111;
Antione;Hicks;antione.hicks@bsu.edu;CS446,CS345,ENG104;
Carlton;Harper;carlton.harper@bsu.edu;MATH161,CS121,CS120;
Delmar;Myers;delmar.myers@bsu.edu;CS120,CS333,ENG104;
Shon;Carroll;shon.carroll@bsu.edu;CS345,MATH161,CS121;
Lemuel;Freeman;lemuel.freeman@bsu.edu;MATH125,CS345,HIST150;
Damion;Daniels;damion.daniels@bsu.edu;MATH161,PHYS215,CS120;
Simeon;Hall;simeon.hall@bsu.edu;PHYS215,CS222,PSYCH100;
Clair;Dixon;clair.dixon@bsu.edu;ENG104,MATH125,PHYS215;
Hamza;Mendoza;hamza.mendoza@bsu.edu;CS446,CS120,PSYCH100;
Chad;Duncan;chad.duncan@bsu.edu;CHEM101,ECON201,CS446;
Wilson;Henderson;wilson.henderson@bsu.edu;MATH161,MATH125,BIO111;
Curt;Cooper;curt.cooper@bsu.edu;CS121,CS120,ENG104;
Trinidad;Greene;trinidad.greene@bsu.edu;HIST150,CS345,CHEM101;
Brown;Scott;brown.scott@bsu.edu;HIST150,CS222,CS333;
Rene;Hughes;rene.hughes@bsu.edu;BIO111,MATH125,CHEM101;
Ellis;Ferguson;ellis.ferguson@bsu.edu;ENG104,MATH161,CHEM101;
Grant;Hernandez;grant.hernandez@bsu.edu;PSYCH100,MATH125,CS222;
Edward;Watson;edward.watson@bsu.edu;MATH125,ENG104,CS345;
Loyal;Jackson;loyal.jackson@bsu.edu;CS345,PHYS215,CS446;
Harley;Stone;harley.stone@bsu.edu;CS222,MATH161,CS121;
Israel;Perry;israel.perry@bsu.edu;MATH161,PSYCH100,ENG104;
Margaret;Bennett;margaret.bennett@bsu.edu;MATH161,CS446,CHEM101;
Noah;noah.tutt@bsu.edu;123;CS121,CS120,CS222;Mon:10h,13h,14h|Tue:13h,14h
Colby;Knight;colby.knight@bsu.edu;CS121,CS345,CHEM101;
Guadalupe;Thompson;guadalupe.thompson@bsu.edu;BIO111,CS333,MATH125;
Raoul;Gutierrez;raoul.gutierrez@bsu.edu;CS446,MATH125,PSYCH100;
Karson;Vazquez;karson.vazquez@bsu.edu;CS222,CS120,ENG104;
Kody;Brooks;kody.brooks@bsu.edu;MATH125,CHEM101,BIO111;
Lyman;Gray;lyman.gray@bsu.edu;CS121,PSYCH100,MATH125;
Willard;Salazar;willard.salazar@bsu.edu;CS446,HIST150,CS333;
Sedrick;Schmidt;sedrick.schmidt@bsu.edu;ENG104,CS446,CS121;
Tariq;Taylor;tariq.taylor@bsu.edu;PHYS215,MATH161,CS222;
Brooks;Campbell;brooks.campbell@bsu.edu;MATH125,CHEM101,CS120;
Montgomery;Payne;montgomery.payne@bsu.edu;PHYS215,MATH125,CS222;
Bernardo;Pena;bernardo.pena@bsu.edu;CS121,ENG104,HIST150;
Rolland;Kim;rolland.kim@bsu.edu;CS333,ECON201,CS345;
Refugio;Fox;refugio.fox@bsu.edu;MATH161,HIST150,CS446;
Domenick;Collins;domenick.collins@bsu.edu;HIST150,PHYS215,BIO111;
Regis;Harrison;regis.harrison@bsu.edu;CS222,MATH161,CS345;
Florian;Santos;florian.santos@bsu.edu;CS345,CS120,MATH125;
Maximino;Ward;maximino.ward@bsu.edu;CS121,MATH161,ENG104;
Francisco;Miller;francisco.miller@bsu.edu;BIO111,MATH125,CS345;
Ben;Long;ben.long@bsu.edu;CHEM101,CS121,CS222;
Emmitt;Gardner;emmitt.gardner@bsu.edu;CS333,ECON201,CS222;
Chester;Holmes;chester.holmes@bsu.edu;PHYS215,CHEM101,CS222;
Tony;Carpenter;tony.carpenter@bsu.edu;MATH125,CS120,CS446;
Shane;Tucker;shane.tucker@bsu.edu;CS333,HIST150,PSYCH100;
Leon;Brown;leon.brown@bsu.edu;CS222,CS333,CS121;
Geoffrey;Lopez;geoffrey.lopez@bsu.edu;CS222,MATH161,CS333;
Davonte;Alexander;davonte.alexander@bsu.edu;CS345,PHYS215,CS222;
Kristopher;Ortega;kristopher.ortega@bsu.edu;CS120,PHYS215,PSYCH100;
Kale;Wright;kale.wright@bsu.edu;MATH125,CS120,PSYCH100;
Kamron;Phillips;kamron.phillips@bsu.edu;BIO111,CS333,HIST150;
Scot;Peterson;scot.peterson@bsu.edu;CS120,CHEM101,CS222;
Jarret;Stewart;jarret.stewart@bsu.edu;HIST150,CHEM101,MATH125;
Bernhard;Kennedy;bernhard.kennedy@bsu.edu;CS120,PSYCH100,CS333;
Laverne;McDonald;laverne.mcdonald@bsu.edu;CHEM101,ENG104,CS222;
Carlton;Warren;carlton.warren@bsu.edu;CS121,HIST150,BIO111;
Florence;Ramos;florence.ramos@bsu.edu;CHEM101,CS446,PSYCH100;
Arlin;Clark;arlin.clark@bsu.edu;CS120,CS222,CHEM101;
Kevon;Aguilar;kevon.aguilar@bsu.edu;CS333,BIO111,HIST150;
Julien;Riley;julien.riley@bsu.edu;PHYS215,CS121,MATH125;
Walton;Henry;walton.henry@bsu.edu;CS345,CS120,MATH125;
Stanford;Nunez;stanford.nunez@bsu.edu;HIST150,CHEM101,CS333;
Sammy;Rice;sammy.rice@bsu.edu;CS333,PHYS215,ECON201;
Adelbert;Grant;adelbert.grant@bsu.edu;PHYS215,CHEM101,BIO111;
Junius;Young;junius.young@bsu.edu;ECON201,BIO111,ENG104;
Kameron;Robinson;kameron.robinson@bsu.edu;MATH125,CS345,BIO111;
Hamilton;Wood;hamilton.wood@bsu.edu;PHYS215,ENG104,HIST150;
Chaz;Perkins;chaz.perkins@bsu.edu;ECON201,CS222,CS120;
Merton;Perez;merton.perez@bsu.edu;PHYS215,BIO111,MATH161;
Mohamed;Stevens;mohamed.stevens@bsu.edu;ENG104,CS121,PSYCH100;
Asher;Barnes;asher.barnes@bsu.edu;CS120,CS121,PSYCH100;
Kenya;Jimenez;kenya.jimenez@bsu.edu;MATH125,PSYCH100,ENG104;
Jamie;Gibson;jamie.gibson@bsu.edu;MATH125,CS333,HIST150;
Dimitri;Foster;dimitri.foster@bsu.edu;CS222,CHEM101,CS333;
Erich;Willis;erich.willis@bsu.edu;MATH161,CS333,CS222;
Durwood;Ryan;durwood.ryan@bsu.edu;MATH125,CHEM101,ENG104;
Marshal;Ruiz;marshal.ruiz@bsu.edu;CS446,MATH161,PSYCH100;
Sid;White;sid.white@bsu.edu;ENG104,BIO111,CS446;
Shad;Delgado;shad.delgado@bsu.edu;MATH161,HIST150,CS121;
Lyle;Olson;lyle.olson@bsu.edu;HIST150,MATH161,CS446;
Isom;Ford;isom.ford@bsu.edu;CS333,CS120,CS345;
Domenick;Green;domenick.green@bsu.edu;ENG104,CS222,CS333;
Estel;Patel;estel.patel@bsu.edu;CS446,HIST150,ENG104;
Luis;Reyes;luis.reyes@bsu.edu;CS222,HIST150,CS345;
Obie;Hayes;obie.hayes@bsu.edu;CS345,CS222,ECON201;
Joesph;Gonzales;joesph.gonzales@bsu.edu;HIST150,MATH161,CS121;
Waylon;Johnston;waylon.johnston@bsu.edu;CS446,MATH161,CHEM101;
Stanford;Pierce;stanford.pierce@bsu.edu;CS446,MATH125,CHEM101;
Fredric;Kelley;fredric.kelley@bsu.edu;HIST150,PSYCH100,CS446;
Hobert;Howard;hobert.howard@bsu.edu;CS446,CS121,MATH125;
Wilber;George;wilber.george@bsu.edu;CS333,MATH125,PSYCH100;
Jay;Gonzalez;jay.gonzalez@bsu.edu;PHYS215,ENG104,CS333;
Isidore;Contreras;isidore.contreras@bsu.edu;BIO111,PHYS215,MATH125;
Jake;Nelson;jake.nelson@bsu.edu;CS345,HIST150,CS333;
Connie;Silva;connie.silva@bsu.edu;CS345,CS222,HIST150;
Gene;Cole;gene.cole@bsu.edu;MATH161,PSYCH100,CS333;
Garrett;Smith;garrett.smith@bsu.edu;CS121,CS345,ENG104;
Trevion;Berry;trevion.berry@bsu.edu;CS120,PHYS215,CS333;
Gerhard;Spencer;gerhard.spencer@bsu.edu;CS345,ENG104,CS446;
Tracey;Valdez;tracey.valdez@bsu.edu;MATH125,CS345,ENG104;
Isai;Watkins;isai.watkins@bsu.edu;ENG104,CS345,CHEM101;
Waldemar;Mason;waldemar.mason@bsu.edu;CS333,PSYCH100,CS121;
Arron;Sullivan;arron.sullivan@bsu.edu;CS446,ENG104,CS345;
Kai;Robertson;kai.robertson@bsu.edu;BIO111,MATH161,CS333;
Warner;Hart;warner.hart@bsu.edu;CS446,CS222,MATH125;
Wyatt;Bell;wyatt.bell@bsu.edu;CS222,CS120,CHEM101;
Maximino;Rogers;maximino.rogers@bsu.edu;CS121,HIST150,CHEM101;
Cody;Cook;cody.cook@bsu.edu;ENG104,CS333,MATH161;
Gil;Rose;gil.rose@bsu.edu;ECON201,BIO111,CS121;
Rashad;Ortiz;rashad.ortiz@bsu.edu;HIST150,BIO111,PHYS215;
Forrest;Shaw;forrest.shaw1@bsu.edu;PSYCH100,ECON201,HIST150;
Deangelo;Armstrong;deangelo.armstrong@bsu.edu;CS345,MATH125,PSYCH100;
Dempsey;Cruz;dempsey.cruz@bsu.edu;CS333,CS222,CHEM101;
Wendell;Nguyen;wendell.nguyen@bsu.edu;CS333,ENG104,CHEM101;
Kenton;Ross;kenton.ross@bsu.edu;BIO111,MATH161,MATH125;
Michele;Butler;michele.butler@bsu.edu;CS222,CS121,MATH161;
Tarik;Johnson;tarik.johnson@bsu.edu;HIST150,MATH125,CS121;
Reilly;James;reilly.james@bsu.edu;CS121,HIST150,PHYS215;
Delbert;Adams;delbert.adams@bsu.edu;CS333,ENG104,ECON201;
Nicky;Stephens;nicky.stephens@bsu.edu;CHEM101,CS345,CS121;
Einar;Andrews;einar.andrews@bsu.edu;CS120,MATH125,CS222;
Curtis;Tran;curtis.tran@bsu.edu;CS120,MATH125,CHEM101;
Marques;Cox;marques.cox@bsu.edu;ENG104,PSYCH100,CS446;
Griffin;Kelly;griffin.kelly@bsu.edu;CS222,PHYS215,MATH125;
Enrico;Owens;enrico.owens@bsu.edu;CS446,BIO111,PSYCH100;
Trystan;Palmer;trystan.palmer@bsu.edu;PHYS215,MATH125,CS222;
Karl;Richardson;karl.richardson@bsu.edu;CHEM101,ECON201,ENG104;
Triston;Edwards;triston.edwards@bsu.edu;BIO111,HIST150,MATH161;
Simon;Evans;simon.evans@bsu.edu;PHYS215,CS120,CHEM101;
Wilfredo;Guzman;wilfredo.guzman@bsu.edu;ECON201,HIST150,CS222;
Levar;Herrera;levar.herrera@bsu.edu;MATH125,PSYCH100,CS333;
David;Graham;david.graham@bsu.edu;PHYS215,PSYCH100,BIO111;
Johnnie;Martinez;johnnie.martinez@bsu.edu;CS120,CS222,MATH125;
Gabe;Mendez;gabe.mendez@bsu.edu;ECON201,CS222,CS121;
Quentin;Vasquez;quentin.vasquez@bsu.edu;ECON201,PHYS215,BIO111;
Jordan;Webb;jordan.webb@bsu.edu;ENG104,PSYCH100,CS345;
June;Romero;june.romero@bsu.edu;CHEM101,HIST150,PHYS215;
Roy;Davis;roy.davis@bsu.edu;CS333,MATH161,CS121;
Mitchel;Ellis;mitchel.ellis@bsu.edu;ECON201,HIST150,CS222;
Allison;Hunt;allison.hunt@bsu.edu;ECON201,CHEM101,CS121;
Layne;Moore;layne.moore@bsu.edu;CS120,PSYCH100,CS222;
Claude;Medina;claude.medina@bsu.edu;CHEM101,MATH161,PSYCH100;
Chance;Chavez;chance.chavez@bsu.edu;CS333,MATH125,CS120;
Salvador;King;salvador.king@bsu.edu;CS345,CS222,CS120;
Toby;Morris;toby.morris@bsu.edu;MATH125,CS120,ENG104;
Sixto;Murphy;sixto.murphy@bsu.edu;CS121,CHEM101,HIST150;
Donal;Hansen;donal.hansen@bsu.edu;MATH125,MATH161,ECON201;
Braden;Torres;braden.torres@bsu.edu;CS222,CS345,CS446;
Deondre;Weaver;deondre.weaver@bsu.edu;PHYS215,BIO111,CS345;
Jared;Walker;jared.walker@bsu.edu;ECON201,CS120,HIST150;
Errol;Patterson;errol.patterson@bsu.edu;CS333,PSYCH100,CS345;
Hilton;Marshall;hilton.marshall@bsu.edu;CHEM101,CS345,MATH161;
Rafael;Roberts;rafael.roberts@bsu.edu;ECON201,CHEM101,CS222;
Dominic;Arnold;dominic.arnold@bsu.edu;CHEM101,CS446,ENG104;
Nickolas;Jenkins;nickolas.jenkins@bsu.edu;PHYS215,CS333,ECON201;
Hobert;Matthews;hobert.matthews@bsu.edu;CS446,MATH125,CS120;
Cole;Wallace;cole.wallace@bsu.edu;CS333,CS121,CHEM101;
Robb;Estrada;robb.estrada@bsu.edu;CHEM101,PHYS215,MATH125;
Jennifer;Price;jennifer.price@bsu.edu;HIST150,CHEM101,CS121;
Edwardo;Garcia;edwardo.garcia@bsu.edu;HIST150,MATH125,CS121;
Buster;Woods;buster.woods@bsu.edu;HIST150,BIO111,CS345;
Everett;Powell;everett.powell@bsu.edu;CHEM101,ECON201,CS222;
Dolores;Wells;dolores.wells@bsu.edu;HIST150,CS446,CHEM101;
Bobby;Burns;bobby.burns@bsu.edu;PHYS215,CS333,CHEM101;
Trevion;Rodriguez;trevion.rodriguez@bsu.edu;CS345,PHYS215,CS121;
Noah;Diaz;noah.diaz@bsu.edu;CS446,CS333,CS121;
Preston;Bradley;preston.bradley@bsu.edu;CHEM101,PSYCH100,CS120;
Mac;Gomez;mac.gomez@bsu.edu;CS120,CHEM101,CS333;
Philip;Larson;philip.larson@bsu.edu;BIO111,CS120,PHYS215;
Ashley;Garza;ashley.garza@bsu.edu;PHYS215,HIST150,CS333;
Semaj;Chen;semaj.chen@bsu.edu;CS333,ECON201,BIO111;
Forest;Soto;forest.soto@bsu.edu;HIST150,CS121,PHYS215;
Worth;Williams;worth.williams@bsu.edu;CS446,CS121,BIO111;
Alfred;Hamilton;alfred.hamilton@bsu.edu;ENG104,CS120,CHEM101;
Cooper;Mills;cooper.mills@bsu.edu;CHEM101,CS446,CS222;
Delton;Porter;delton.porter@bsu.edu;BIO111,PSYCH100,ENG104;
Lafayette;Alvarez;lafayette.alvarez@bsu.edu;CS121,HIST150,MATH125;
Andrea;Bailey;andrea.bailey@bsu.edu;MATH161,CS222,CS446;
Watson;Gordon;watson.gordon@bsu.edu;BIO111,CS333,CHEM101;
Gale;West;gale.west@bsu.edu;CS121,ECON201,CS333;
Randy;Wilson;randy.wilson@bsu.edu;PSYCH100,CS345,CS121;
Franklyn;Guerrero;franklyn.guerrero@bsu.edu;CHEM101,MATH161,CS446;
Cristian;Ramirez;cristian.ramirez@bsu.edu;BIO111,ECON201,MATH161;
Triston;Lee;triston.lee@bsu.edu;CS120,PSYCH100,HIST150;
Kobe;Anderson;kobe.anderson@bsu.edu;PHYS215,CS333,CS222;
Anselmo;Lewis;anselmo.lewis@bsu.edu;CS120,MATH125,CS333;
Ansel;Turner;ansel.turner@bsu.edu;CS120,CS222,CHEM101;
Sawyer;Crawford;sawyer.crawford@bsu.edu;ECON201,HIST150,CS333;
Margaret;Griffin;margaret.griffin@bsu.edu;CHEM101,ENG104,CS345;
Leif;Coleman;leif.coleman@bsu.edu;MATH125,CS446,HIST150;
Reid;Sanchez;reid.sanchez@bsu.edu;CS121,MATH125,MATH161;
